time,symbol,fundingRate,exchange
2023-02-04 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-04 16:00:00.000,SOLUSDT,0.0001,Binance
2023-02-05 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-05 00:00:00.016,SOLUSDT,0.0001,Binance
2023-02-05 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-05 08:00:00.009,SOLUSDT,-8.182e-05,Binance
2023-02-05 16:00:00.000,SOLUSDT,-1.269e-05,Bybit
2023-02-05 16:00:00.018,SOLUSDT,-0.00019779,Binance
2023-02-06 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-06 00:00:00.001,SOLUSDT,-4.068e-05,Binance
2023-02-06 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-06 08:00:00.000,SOLUSDT,0.0001,Binance
2023-02-06 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-06 16:00:00.012,SOLUSDT,0.0001,Binance
2023-02-07 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-07 00:00:00.004,SOLUSDT,-0.00011165,Binance
2023-02-07 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-07 08:00:00.011,SOLUSDT,2.94e-05,Binance
2023-02-07 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-07 16:00:00.018,SOLUSDT,0.0001,Binance
2023-02-08 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-08 00:00:00.009,SOLUSDT,-1.031e-05,Binance
2023-02-08 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-08 08:00:00.010,SOLUSDT,0.0001,Binance
2023-02-08 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-08 16:00:00.000,SOLUSDT,0.0001,Binance
2023-02-09 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-09 00:00:00.014,SOLUSDT,0.0001,Binance
2023-02-09 08:00:00.000,SOLUSDT,-0.00012091,Bybit
2023-02-09 08:00:00.006,SOLUSDT,-0.00018909,Binance
2023-02-09 16:00:00.000,SOLUSDT,-2.118e-05,Bybit
2023-02-09 16:00:00.001,SOLUSDT,0.0001,Binance
