fundingTime,fundingRate,symbol
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
2020-09-14 00:00:00.003,0.0001,SOLUSDT
